t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1.71201E+18,6.03997,-0.455257,-0.00958215,0.543737,5.92867,-0.133369,0.801628,Five,0.987501,-0.053289,-0.148329,0.053178,0.998574,-0.00471688,0.148369,-0.00322993,0.988927
1.71201E+18,6.09057,-0.463443,-0.0101925,0.558249,5.97915,-0.138711,0.808675,Five,0.987497,-0.0533108,-0.148348,0.0532006,0.998573,-0.00471405,0.148387,-0.00323708,0.988924
1.71201E+18,6.13138,-0.0818667,-0.0177898,-0.662856,6.00024,0.244665,0.805892,Five,0.987498,-0.0533339,-0.148333,0.053223,0.998571,-0.00471928,0.148373,-0.00323445,0.988926
1.71201E+18,5.98927,-0.0824159,-0.0159974,-0.665174,5.85969,0.236501,0.78646,Five,0.987502,-0.0533275,-0.148312,0.0532158,0.998572,-0.00472425,0.148353,-0.00322736,0.988929
1.71201E+18,6.13426,-0.0878392,-0.0176979,-0.614233,6.00342,0.238827,0.80627,Five,0.987502,-0.0533307,-0.148307,0.0532186,0.998572,-0.00472671,0.148347,-0.00322503,0.98893
1.71201E+18,6.0168,-0.0894763,-0.0162822,-0.606986,5.88731,0.230926,0.790174,Five,0.987504,-0.0533297,-0.148294,0.0532173,0.998572,-0.00472831,0.148334,-0.00322258,0.988932
1.71201E+18,5.98777,-0.0924456,-0.0158478,-0.586184,5.85874,0.226443,0.786331,Five,0.987504,-0.0533346,-0.148298,0.0532221,0.998572,-0.00472946,0.148338,-0.00322236,0.988931
1.71201E+18,6.03671,-0.0962375,-0.0165615,-0.545281,5.90737,0.225175,0.79295,Five,0.987503,-0.0533202,-0.148306,0.0532072,0.998572,-0.0047319,0.148347,-0.00321821,0.98893
1.71201E+18,5.94211,-0.0970476,-0.0151578,-0.555874,5.81379,0.219219,0.780293,Five,0.987504,-0.0533031,-0.148304,0.0531893,0.998573,-0.00473599,0.148345,-0.00321138,0.98893
1.71201E+18,6.10551,-0.103319,-0.0171149,-0.488234,5.97577,0.221676,0.802615,Five,0.987504,-0.0533055,-0.148304,0.0531924,0.998573,-0.00473156,0.148345,-0.00321621,0.988931
1.71201E+18,5.97096,-0.104392,-0.0155719,-0.491973,5.84274,0.21355,0.784104,Five,0.987505,-0.0533211,-0.148291,0.0532107,0.998572,-0.00471434,0.148331,-0.00323522,0.988933
1.71201E+18,5.95986,-0.10791,-0.0153787,-0.467278,5.83194,0.209607,0.782613,Five,0.987505,-0.053344,-0.148284,0.0532381,0.998571,-0.00468637,0.148322,-0.00326655,0.988934
1.71201E+18,5.89894,-0.109659,-0.0143783,-0.453115,5.77171,0.204627,0.774622,Five,0.987504,-0.053345,-0.148293,0.0532405,0.998571,-0.00467758,0.14833,-0.00327606,0.988932
1.71201E+18,5.85141,-0.111895,-0.0141248,-0.4493,5.72485,0.199845,0.767897,Five,0.987502,-0.0533423,-0.148304,0.0532374,0.998571,-0.00467966,0.148342,-0.00327416,0.988931
1.71201E+18,5.76601,-0.113389,-0.0130383,-0.462764,5.64043,0.193822,0.756372,Five,0.9875,-0.0533469,-0.148315,0.0532409,0.998571,-0.00468737,0.148353,-0.00326765,0.988929
1.71201E+18,5.95212,-0.120159,-0.0153005,-0.350804,5.82491,0.196834,0.781765,Five,0.987502,-0.0533243,-0.148314,0.0532162,0.998572,-0.00469957,0.148353,-0.0032519,0.988929
1.71201E+18,5.8744,-0.122225,-0.0140464,-0.34771,5.74809,0.190565,0.771477,Five,0.987502,-0.0533153,-0.148313,0.0532054,0.998572,-0.0047113,0.148352,-0.00323862,0.988929
1.71201E+18,5.78084,-0.124012,-0.0131922,-0.371146,5.65567,0.183839,0.758439,Five,0.987502,-0.0533241,-0.148311,0.0532123,0.998572,-0.00472454,0.148351,-0.0032265,0.988929
1.71201E+18,5.76335,-0.12714,-0.0122484,-0.353693,5.63844,0.179783,0.75668,Five,0.987505,-0.0533213,-0.148293,0.0532129,0.998572,-0.00470113,0.148332,-0.00324872,0.988932
1.71201E+18,5.67989,-0.128537,-0.0119612,-0.365393,5.55607,0.173858,0.744523,Five,0.987508,-0.0533027,-0.148282,0.0531974,0.998573,-0.00467884,0.14832,-0.00326784,0.988934
1.71201E+18,5.77378,-0.134069,-0.0124082,-0.299875,5.64914,0.173214,0.758087,Five,0.987507,-0.0532848,-0.148293,0.0531772,0.998574,-0.00469275,0.148331,-0.00325167,0.988932
1.71201E+18,5.69365,-0.135795,-0.0115423,-0.331035,5.57,0.167128,0.746921,Five,0.987512,-0.053268,-0.148268,0.0531602,0.998575,-0.00469219,0.148306,-0.00324836,0.988936
1.71201E+18,5.71316,-0.140602,-0.0117989,0.222579,5.58957,0.163383,0.749474,Five,0.987514,-0.0532699,-0.14825,0.0531632,0.998575,-0.00468515,0.148288,-0.00325481,0.988939
1.71201E+18,5.6728,-0.143416,-0.0105196,0.188386,5.54968,0.158469,0.7447,Five,0.987515,-0.053279,-0.148239,0.0531715,0.998574,-0.00469093,0.148277,-0.00324972,0.98894
1.71201E+18,5.64737,-0.146137,-0.00962956,-0.241217,5.52457,0.154353,0.74189,Five,0.987514,-0.053271,-0.148252,0.0531641,0.998575,-0.00468694,0.14829,-0.00325324,0.988939
1.71201E+18,5.66778,-0.150372,-0.0110046,-0.185418,5.54516,0.151189,0.743592,Five,0.987514,-0.0532644,-0.148255,0.0531593,0.998575,-0.00467385,0.148293,-0.00326567,0.988938
1.71201E+18,5.61522,-0.152938,-0.00968274,0.0912949,5.4932,0.145851,0.737108,Five,0.987514,-0.0532693,-0.148255,0.0531636,0.998575,-0.00467859,0.148293,-0.00326158,0.988938
