t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1714313102642587544,3.79667,-1.10315,-0.519472,0.372245,3.98621,0.0959064,-0.0495037,Three,0.946349,-0.300498,-0.118848,0.306498,0.951209,0.0354887,0.102385,-0.0700115,0.992278
1714313102649156835,3.7772,-1.10171,-0.517184,0.357718,3.96708,0.0913005,-0.0492867,Three,0.946355,-0.300474,-0.118858,0.306474,0.951217,0.0354885,0.102396,-0.0700116,0.992277
1714313102655666272,3.76417,-1.10224,-0.515742,0.350311,3.95474,0.0867214,-0.0491231,Three,0.946364,-0.300444,-0.118864,0.306444,0.951227,0.0354848,0.102405,-0.0700066,0.992276
1714313102662342417,3.72956,-1.09669,-0.511355,0.379522,3.91979,0.0815902,-0.0487213,Three,0.946362,-0.300452,-0.11886,0.306453,0.951224,0.0354952,0.102398,-0.0700163,0.992276
1714313102669240579,3.64998,-1.07748,-0.502223,0.490254,3.83763,0.0758593,-0.0491237,Three,0.946357,-0.300466,-0.118868,0.306468,0.951219,0.0354925,0.102405,-0.0700178,0.992276
1714313102676012759,3.57581,-1.05985,-0.492854,0.538803,3.76102,0.0702385,-0.0486417,Three,0.946355,-0.300469,-0.118872,0.30647,0.951219,0.0354773,0.102413,-0.0700048,0.992276
1714313102682898563,3.53272,-1.05116,-0.487509,0.573498,3.717,0.0654629,-0.0483802,Three,0.946358,-0.300463,-0.118866,0.306462,0.951222,0.0354707,0.10241,-0.0699959,0.992277
1714313102690337760,3.64712,-1.09086,-0.501333,0.327495,3.83884,0.0623247,-0.0476881,Three,0.946356,-0.300478,-0.118844,0.306474,0.951218,0.035453,0.102394,-0.0699737,0.99228
1714313102863700105,3.75609,-1.24358,-0.521199,0.0988343,3.99021,-0.0506028,-0.0449799,Three,0.946368,-0.300383,-0.118985,0.306384,0.951249,0.0354092,0.102548,-0.0699654,0.992264
1714313102870521276,3.5477,-1.17894,-0.493889,-0.0987861,3.77033,-0.0519247,-0.0436988,Three,0.94636,-0.300399,-0.119006,0.306401,0.951244,0.0353964,0.10257,-0.0699612,0.992262
1714313102877117174,3.53076,-1.17751,-0.491976,-0.125193,3.75364,-0.0555648,-0.043612,Three,0.94635,-0.300429,-0.119014,0.306427,0.951237,0.0353584,0.102588,-0.0699307,0.992263
