t,x,y,z,yaw1,yaw2,label
1714224616493595461,3.55863,0.21918,-0.52211,0.780494,-0.62296,Three
1714224616538757953,3.67329,0.554523,-0.539794,-0.581458,0.85973,Three
1714224616558316089,3.57835,0.530847,-0.52612,-0.548062,0.82083,Three
1714224616565227786,3.58715,0.528948,-0.527533,-0.524853,0.799351,Three
1714224616572166946,3.58309,0.524786,-0.527599,-0.49923,0.770571,Three
1714224616579111743,3.63011,0.527909,-0.534853,-0.456806,0.728107,Three
1714224616586187623,3.57015,0.515543,-0.526497,-0.459801,0.727637,Three
1714224616593817153,3.59077,0.514523,-0.529772,-0.426581,0.696952,Three
1714224616600977778,3.53964,0.503283,-0.522173,-0.422337,0.688163,Three
1714224616608068679,3.53655,0.499216,-0.521826,-0.40506,0.670382,Three
1714224616615911819,3.59157,0.502486,-0.530231,-0.346833,0.614505,Three
1714224616623037584,3.54472,0.491933,-0.523179,-0.345054,0.608625,Three
1714224616630117019,3.55434,0.489089,-0.524738,-0.330947,0.595382,Three
1714224616637738029,3.56672,0.486452,-0.526817,-0.299741,0.561087,Three
1714224616645122997,3.45985,0.467922,-0.510722,-0.329195,0.586423,Three
1714224616652147723,3.56689,0.478398,-0.52774,-0.228309,0.488561,Three
1714224616659810019,3.55373,0.47175,-0.525632,-0.217447,0.471638,Three
1714224616666926171,3.54713,0.466576,-0.524598,-0.207796,0.458769,Three
1714224616673889496,3.57035,0.464916,-0.528318,-0.156156,0.413551,Three
1714224616681793719,3.55878,0.45896,-0.526611,-0.117138,0.369296,Three
1714224616688921062,3.56304,0.455613,-0.527405,-0.123878,0.374283,Three
1714224616695920627,3.63047,0.458652,-0.537995,0.0945372,0.157106,Three
1714224616703799516,3.53707,0.442795,-0.523384,-0.082085,0.323366,Three
1714224616711044200,3.51067,0.434974,-0.518983,-0.117384,0.357957,Three
1714224616717066296,3.55875,0.436624,-0.527082,-0.0141499,0.256244,Three
1714224616723028712,3.51945,0.428035,-0.521347,-0.0153934,0.25668,Three
1714224616728974191,3.5164,0.424326,-0.520856,-0.0582242,0.295879,Three
1714224616734956256,3.50523,0.419639,-0.519114,-0.0442158,0.278305,Three
1714224616740906407,3.47205,0.411335,-0.513573,-0.0967754,0.330956,Three
1714224616747804921,3.50884,0.411483,-0.519038,0.00198579,0.229418,Three
1714224616754311233,3.50569,0.406874,-0.51862,0.056069,0.174417,Three
1714224616761570989,3.50887,0.402627,-0.518857,0.0748327,0.152098,Three
1714224616769772229,3.50815,0.397329,-0.519007,0.0662319,0.162977,Three
1714224616776845308,3.53782,0.396263,-0.52366,0.0246453,0.195349,Three
1714224616784114697,3.49178,0.386336,-0.516419,0.225214,0.00350694,Three
1714224616791799422,3.52366,0.384304,-0.521189,0.0454684,0.172964,Three
1714224616799063824,3.50714,0.378305,-0.518667,0.0606032,0.157028,Three
1714224616806410140,3.52197,0.37494,-0.520748,0.0392006,0.177328,Three
1714224616813853661,3.52057,0.370052,-0.519756,0.162618,0.0503203,Three
1714224616820983031,3.52601,0.366178,-0.520894,0.0673031,0.142311,Three
1714224616828063413,3.50822,0.359645,-0.517996,0.274,-0.060417,Three
1714224616835886795,3.525,0.356812,-0.520752,0.0051866,0.201865,Three
1714224616842794001,3.52406,0.351797,-0.520696,0.306907,-0.0972816,Three
1714224616848944339,3.51499,0.347201,-0.519254,0.299742,-0.0922008,Three
1714224616854794940,3.52811,0.345292,-0.520769,-0.107312,0.311252,Three
1714224616860886991,3.54667,0.342811,-0.523717,0.331003,-0.130788,Three
1714224616866948323,3.54524,0.339093,-0.522927,0.326201,-0.130923,Three
1714224616873009811,3.5389,0.334568,-0.522029,0.375645,-0.179497,Three
1714224616879837946,3.49904,0.326861,-0.515506,0.427997,-0.23295,Three
1714224616886745079,3.48047,0.320737,-0.512602,0.466206,-0.267861,Three
1714224616893694598,3.5248,0.320955,-0.519355,0.439858,-0.24541,Three
1714224616900632243,3.57855,0.32158,-0.527462,0.425809,-0.237061,Three
1714224616907794938,3.54247,0.314154,-0.521446,0.476132,-0.289463,Three
1714224616914888554,3.4944,0.305587,-0.513558,0.54158,-0.354548,Three
1714224616920969763,3.5201,0.304541,-0.51729,0.539437,-0.349976,Three
1714224616927105662,3.52735,0.30142,-0.517677,0.557204,-0.372543,Three
1714224616933174609,3.58014,0.302483,-0.525658,0.541824,-0.361907,Three
1714224616939077110,3.5688,0.298274,-0.52389,0.567185,-0.384032,Three
1714224616945867194,3.6022,0.297284,-0.528736,0.581384,-0.399379,Three
1714224616951932594,3.56095,0.290572,-0.521975,0.618942,-0.436174,Three
1714224616957969414,3.55901,0.287037,-0.521523,0.640499,-0.458797,Three
1714224616963957614,3.56812,0.284498,-0.522446,0.654819,-0.476852,Three
1714224616969953302,3.5672,0.28133,-0.521699,0.674575,-0.499787,Three
1714224616975766101,3.56292,0.278144,-0.52126,0.698876,-0.522008,Three
1714224616981763666,3.56433,0.275029,-0.521428,0.713752,-0.538057,Three
1714224616987893558,3.5627,0.271629,-0.520732,0.735863,-0.561016,Three
1714224616994049345,3.60355,0.271823,-0.526816,0.743581,-0.57044,Three
1714224617000804702,3.61189,0.269184,-0.527504,0.761438,-0.588248,Three
1714224617006820269,3.68723,0.271638,-0.539127,0.756938,-0.584263,Three
1714224617012686457,3.64728,0.266024,-0.532493,0.789115,-0.619314,Three
1714224617018693279,3.6685,0.623343,-0.540334,-0.648216,0.954347,Three
1714224617024649869,3.66777,0.619613,-0.540316,-0.628423,0.935654,Three
1714224617030605499,3.6511,0.613228,-0.537771,-0.609824,0.915388,Three
1714224617036883307,3.61094,0.602625,-0.531894,-0.602251,0.903814,Three
1714224617043095301,3.61383,0.599163,-0.533267,-0.573579,0.87561,Three
1714224617049231896,3.62056,0.596463,-0.534532,-0.556091,0.857077,Three
1714224617056285299,3.57636,0.584386,-0.527873,-0.546188,0.845845,Three
1714224617063408333,3.54255,0.574035,-0.523041,-0.532527,0.832906,Three
1714224617070354075,3.62595,0.582738,-0.536965,-0.476711,0.774088,Three
1714224617077757047,3.56786,0.568218,-0.5283,-0.472609,0.764771,Three
1714224617084616525,3.49332,0.551295,-0.51666,-0.479364,0.773865,Three
1714224617091613422,3.55142,0.555753,-0.526319,-0.423308,0.719184,Three
1714224617098609455,3.53177,0.547255,-0.52342,-0.412445,0.703284,Three
1714224617105551227,3.49533,0.536456,-0.518124,-0.407194,0.696369,Three
1714224617112364526,3.41549,0.519849,-0.504879,-0.415229,0.707757,Three
1714224617119365814,2.9667,0.446369,-0.431253,0.859976,-0.557912,Three
1714224617126313050,3.44216,0.513111,-0.51067,-0.358855,0.634024,Three
1714224617133104663,3.4925,0.515089,-0.519047,-0.313948,0.594372,Three
1714224617139893891,3.49818,0.51082,-0.52009,-0.280661,0.560882,Three
1714224617146831360,3.54763,0.512242,-0.52832,-0.231828,0.512643,Three
1714224617154889335,3.49532,0.498485,-0.520525,-0.248408,0.519518,Three
1714224617161993538,3.47724,0.489886,-0.517777,-0.226605,0.493152,Three
1714224617169032204,3.54621,0.493502,-0.528574,-0.130404,0.397636,Three
1714224617176798424,3.46775,0.476625,-0.516272,-0.171547,0.439636,Three
1714224617183777812,3.51765,0.477419,-0.524649,-0.121787,0.388253,Three
1714224617190824832,3.4572,0.463641,-0.514839,-0.166064,0.423835,Three
1714224617198786487,3.48438,0.460014,-0.518899,-0.0652051,0.32111,Three
1714224617206139399,3.49279,0.454742,-0.520243,-0.0210627,0.274961,Three
1714224617213510179,3.49696,0.449385,-0.521079,-0.014152,0.265516,Three
