t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1713619299061261032,3.73552,0.161528,0.967078,-0.635908,3.83307,0.413083,0.228747,Two,0.977988,-0.068017,0.197264,0.0757493,0.996616,-0.0319119,-0.194426,0.0461521,0.979831
1713619299109529498,3.69027,0.134734,0.955189,-0.466632,3.78835,0.382914,0.2246,Two,0.977991,-0.0679121,0.197286,0.0756672,0.996619,-0.0320317,-0.194443,0.0462548,0.979823
1713619299116560395,3.69708,0.131098,0.957139,-0.440942,3.79563,0.379804,0.225027,Two,0.97799,-0.0679293,0.197287,0.0756884,0.996616,-0.0320502,-0.194442,0.0462771,0.979822
1713619299125389089,3.70566,0.12597,0.958511,-0.396505,3.80463,0.375479,0.224465,Two,0.977987,-0.0679753,0.197286,0.0757296,0.996614,-0.0320211,-0.194441,0.0462566,0.979823
1713619299132617404,3.71632,0.122504,0.961199,-0.359177,3.81581,0.372783,0.22489,Two,0.977988,-0.0679842,0.197278,0.0757342,0.996614,-0.0320007,-0.194434,0.046237,0.979825
1713619299142510820,3.68847,0.115808,0.954031,-0.333258,3.78762,0.364213,0.222971,Two,0.977989,-0.0679778,0.197275,0.075721,0.996616,-0.031968,-0.194434,0.0462022,0.979827
1713619299149829244,3.69013,0.111203,0.955064,-0.300183,3.78974,0.359822,0.223553,Two,0.977992,-0.0680064,0.197247,0.0757458,0.996615,-0.0319526,-0.194407,0.04619,0.979833
1713619299158974776,3.70327,0.106038,0.958362,-0.236717,3.8036,0.355491,0.223881,Two,0.977988,-0.0679865,0.197276,0.0757291,0.996616,-0.0319638,-0.194436,0.0461998,0.979827
1713619299166127398,3.67489,0.101146,0.950764,-0.227963,3.7747,0.348663,0.221634,Two,0.977984,-0.0679737,0.197301,0.0757203,0.996616,-0.031979,-0.19446,0.0462146,0.979821
1713619299175585867,3.68155,0.0955653,0.953019,-0.174772,3.78205,0.343491,0.222043,Two,0.977971,-0.0679599,0.197366,0.0757114,0.996617,-0.0319891,-0.194524,0.0462272,0.979808
1713619299182647048,3.63791,0.0902728,0.942229,-0.176555,3.73762,0.335109,0.219708,Two,0.977974,-0.0679211,0.197367,0.0756764,0.996618,-0.0320122,-0.194526,0.0462431,0.979807
1713619299191600416,3.63359,0.0846138,0.941423,-0.125769,3.73363,0.329017,0.219462,Two,0.977975,-0.0678801,0.197375,0.0756363,0.996621,-0.0320183,-0.194535,0.0462419,0.979805
1713619299198795016,3.64286,0.0799881,0.943629,-0.0347424,3.74345,0.325108,0.219526,Two,0.97797,-0.0678977,0.197397,0.0756533,0.99662,-0.0320088,-0.194556,0.0462374,0.979801
1713619299207397409,3.6009,0.0732762,0.932853,-0.0848638,3.70074,0.315646,0.216741,Two,0.977964,-0.0679121,0.197418,0.0756686,0.996619,-0.0320068,-0.194577,0.0462399,0.979797
1713619299214883769,3.58143,0.0684949,0.927949,-0.0992065,3.68105,0.309514,0.215593,Two,0.97797,-0.067899,0.197393,0.0756533,0.996621,-0.0320025,-0.194553,0.0462309,0.979802
1713619299225384471,3.54647,0.0614095,0.919291,-0.0799318,3.64563,0.300001,0.213778,Two,0.977982,-0.0678797,0.197342,0.0756356,0.996621,-0.032025,-0.194502,0.046246,0.979811
1713619299232848409,3.54205,0.0571065,0.918329,-0.0409828,3.64143,0.295184,0.213532,Two,0.977988,-0.0678191,0.197331,0.0755777,0.996625,-0.0320474,-0.194492,0.0462558,0.979813
1713619299241978750,3.51805,0.0510362,0.912373,0.0378051,3.6172,0.287465,0.212028,Two,0.977986,-0.0678068,0.197348,0.0755705,0.996625,-0.0320698,-0.194507,0.0462775,0.979809
1713619299249230807,3.50242,0.0459895,0.908992,-0.0336835,3.60159,0.281391,0.211469,Two,0.977982,-0.0678146,0.197363,0.0755811,0.996623,-0.03208,-0.194521,0.0462905,0.979806
1713619299258219088,3.50345,0.0402791,0.909465,-7.51513e-06,3.60306,0.2758,0.211555,Two,0.977986,-0.0678271,0.197341,0.0755952,0.996622,-0.0320922,-0.194498,0.0463038,0.979809
1713619299265588009,3.48914,0.0351438,0.905629,0.0459971,3.58865,0.26982,0.210336,Two,0.977983,-0.0678538,0.197344,0.0756215,0.99662,-0.0320867,-0.194499,0.0463036,0.979809
