t,x,y,z,odom_yaw,cx,cy,cz,label,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9
1713602429399408213,3.45614,-0.0500091,0.836011,0.369234,3.48126,-0.0151068,0.152423,Two,0.983437,-0.0273224,0.17918,0.0328483,0.99907,-0.0279452,-0.17825,0.0333681,0.983419
1713602429406508913,3.46378,-0.0541067,0.837849,0.385844,3.48921,-0.0189121,0.152772,Two,0.983438,-0.0273479,0.17917,0.0328736,0.999069,-0.027944,-0.178239,0.0333711,0.983421
1713602429412452973,3.444,-0.0568339,0.833528,0.411457,3.46906,-0.0221731,0.151956,Two,0.983438,-0.0273458,0.17917,0.032871,0.999069,-0.0279414,-0.178239,0.0333681,0.983421
1713602429419754946,3.45187,-0.0612028,0.835948,0.424135,3.47735,-0.0263469,0.152762,Two,0.983437,-0.0273451,0.179178,0.0328692,0.999069,-0.027934,-0.178247,0.0333608,0.98342
1713602429426981301,3.47901,-0.0660965,0.84261,0.436715,3.50537,-0.030553,0.154282,Two,0.983435,-0.0273394,0.179186,0.0328667,0.999069,-0.0279505,-0.178255,0.0333767,0.983418
1713602429434317517,3.42014,-0.067657,0.829666,0.48694,3.4452,-0.0337676,0.152052,Two,0.983439,-0.0273164,0.179169,0.0328436,0.999069,-0.027955,-0.178238,0.0333766,0.983421
1713602429444474790,3.47599,-0.0751338,0.843023,0.485831,3.50271,-0.03975,0.155096,Two,0.983444,-0.0273257,0.179138,0.0328543,0.999069,-0.0279676,-0.178207,0.03339,0.983426
1713602429451544278,3.49909,-0.0800398,0.848829,0.49424,3.52661,-0.0441334,0.156462,Two,0.983442,-0.0273046,0.179155,0.0328378,0.999069,-0.0279921,-0.178224,0.0334117,0.983423
1713602429457433250,3.47125,-0.0817749,0.842732,0.523894,3.49818,-0.0467241,0.155415,Two,0.983445,-0.0272767,0.179142,0.0328207,0.999067,-0.028057,-0.17821,0.0334721,0.983423
1713602429464737984,3.46656,-0.0858939,0.841703,0.54633,3.49349,-0.0506958,0.155239,Two,0.983449,-0.0273541,0.179106,0.0328982,0.999065,-0.0280572,-0.178171,0.033485,0.98343
1713602429473197144,3.46912,-0.0900083,0.8429,0.571834,3.49633,-0.0547749,0.155891,Two,0.983453,-0.0273487,0.179087,0.0328901,0.999065,-0.0280466,-0.178153,0.0334727,0.983433
1713602429484446445,3.48661,-0.0967017,0.847394,0.595767,3.51451,-0.0608846,0.157027,Two,0.983455,-0.0273855,0.179072,0.0329275,0.999064,-0.028049,-0.178137,0.0334813,0.983436
1713602429491544887,3.51854,-0.101546,0.854916,0.60448,3.54739,-0.0647785,0.158708,Two,0.98346,-0.027416,0.179037,0.0329565,0.999063,-0.0280447,-0.1781,0.0334813,0.983443
1713602429496988793,3.52085,-0.104276,0.85596,0.623946,3.54992,-0.0675165,0.159327,Two,0.983466,-0.0274002,0.179011,0.0329381,0.999064,-0.0280367,-0.178075,0.0334694,0.983448
1713602429507969348,3.5292,-0.109743,0.85831,0.645579,3.55869,-0.0729056,0.160177,Two,0.983477,-0.0273643,0.178953,0.0328992,0.999065,-0.0280351,-0.178018,0.0334593,0.983458
1713602429517814856,3.49743,-0.112676,0.851491,0.687525,3.5263,-0.0766873,0.15902,Two,0.983477,-0.027362,0.178956,0.0328881,0.999067,-0.027986,-0.178023,0.0334091,0.983459
